u,v,p
2.1739544802621305e+39,1.555820672024141e+42,4.782917575168858e+40
5.609479118975771e+39,4.01450152329682e+42,1.2341415843471052e+41
1.4474201862051433e+40,1.035866328963549e+43,3.1844693668194997e+41
3.7347945343928125e+40,2.672857502366139e+43,8.21692201027046e+41
9.636932210197512e+40,6.896804180422729e+43,2.1202215988122623e+42
2.4866284227611684e+41,1.779590115110472e+44,5.470831562537932e+42
6.41627519838802e+41,4.59189632611084e+44,1.4116448017710914e+43
1.6555986831251353e+42,1.184852157286865e+45,3.6424829088375485e+43
4.271959844014038e+42,3.057287305561548e+45,9.398739487814233e+43
1.1022985881107444e+43,7.888752711689398e+45,2.425167287551939e+44
2.844273405457009e+43,2.0355437067683855e+46,6.257686342128643e+44
7.339110557018376e+43,5.252336248320618e+46,1.6146778227407012e+45
1.893718925360627e+44,1.355266210874916e+47,4.166371289174873e+45
4.886384174768371e+44,3.4970085986527103e+47,1.0750534549237008e+46
1.2608391870446055e+45,9.023370494241349e+47,2.7739724828323525e+46
3.253357490383283e+45,2.32831040529081e+48,7.157712298182618e+46
8.394674807849678e+45,6.007765442907521e+48,1.8469125292563698e+47
2.1660873524613414e+46,1.550190452912815e+49,4.765609106124944e+47
5.589179480908133e+46,3.999973805799979e+49,1.2296754606741035e+48
1.4421822478353643e+47,1.032117725729912e+50,3.172945377833563e+48
3.721279023291488e+47,2.6631849394144626e+50,8.187186532287442e+48
9.602057985371964e+47,6.871845957793402e+50,2.1125489200900105e+49
2.47762978742977e+48,1.7731501169432114e+51,5.451033663607733e+49
6.393055918753118e+48,4.575279126637035e+51,1.4065363277134772e+50
1.6496073863683639e+49,1.1805644026760635e+52,3.6293014559524084e+50
4.256500433820386e+49,3.0462235642666134e+52,9.364727237149243e+50
1.0983095791659705e+50,7.860204815983597e+52,2.416391068379602e+51
2.8339805209535507e+50,2.028177461232597e+53,6.235040965402614e+51
7.312551711734172e+50,5.2333290423770645e+53,1.608834610794944e+52
1.8868659167351706e+51,1.35036176021514e+54,4.151293983879353e+52
4.8687012797787656e+51,3.484353589628445e+54,1.0711630409341931e+53
1.2562764498250445e+52,8.99071663257286e+54,2.7639340039973753e+53
3.2415842083799665e+52,2.319884692754215e+55,7.131809898697099e+53
8.364296076298931e+52,5.986024482383443e+55,1.84022890407633e+54
2.158248694299818e+53,1.544580608493645e+56,4.748363273138611e+54
5.568953303369883e+53,3.9854986613497395e+56,1.2252254990532641e+55
1.436963264568345e+54,1.0283826879784322e+57,3.1614630919720253e+55
3.7078124222543315e+54,2.6535473796284896e+57,8.157558661343869e+55
9.567309963733352e+54,6.84697805422498e+57,2.1049040073327924e+56
2.468663716448191e+55,1.766733423904498e+58,5.431307409508414e+56
6.369920665275153e+55,4.558722061647707e+58,1.4014463402518995e+57
1.6436377709750735e+56,1.1762921646337127e+59,3.616167704238285e+57
4.241096968292009e+56,3.0351998605472185e+59,9.330838070350633e+57
1.0943350056859003e+57,7.831760229682844e+59,2.4076466086753055e+58
2.8237248844415105e+57,2.0208378727384196e+60,6.212477537988041e+58
7.286088977859839e+57,5.214390619896848e+60,1.6030125443219005e+59
1.8800377078445602e+58,1.3454750578295268e+61,4.1362712404841505e+59
4.8510823758230254e+58,3.471744376674988e+61,1.0672867056129973e+60
1.2517302242836965e+59,8.958180939019331e+61,2.753931852508089e+60
3.229853531645065e+59,2.3114894712688086e+62,7.106001235068954e+60
8.334027279599957e+59,5.964362198260603e+62,1.8335694656646627e+61
2.1504384027513516e+60,1.5389910650344944e+63,4.731179849541881e+61
5.548800320521341e+60,3.971075899694248e+63,1.2207916409971952e+62
1.4317631678091728e+61,1.0246611666182105e+64,3.150022358319211e+62
3.694394554285122e+61,2.643944696338419e+64,8.128038008030335e+62
9.532687688576341e+61,6.82220014286996e+64,2.0972867600608618e+63
2.4597300919722425e+62,1.7603399516575058e+65,5.411652540970955e+63
6.346869133879445e+62,4.542224913527599e+65,1.3963747724868835e+64
1.6376897584845333e+63,1.1720353870083029e+66,3.6030814810737156e+64
4.225749244975803e+63,3.024216049514993e+66,9.297071542001308e+64
1.0903748154313326e+64,7.803418578930057e+66,2.3989337935075746e+65
2.813506361127494e+64,2.0135248448190905e+67,6.189995763325957e+65
7.259722007586463e+64,5.1955207319657e+67,1.597211546800127e+66
1.873234208943271e+65,1.3406060394904477e+68,4.121302861540129e+66
4.833527231329774e+65,3.459180794065071e+68,1.0634243980120911e+67
1.247200450667939e+66,8.925762985952826e+68,2.7439658969027387e+67
3.218165305998217e+66,2.3031246304932757e+69,7.080285968085945e+67
8.303868019919429e+66,5.9427783058240645e+69,1.8269341264940515e+68
2.142656375162563e+67,1.5334217490700504e+70,4.71405860948704e+68
5.528720267484841e+67,3.956705331270129e+70,1.216373828230158e+69
1.4265818892111688e+68,1.0209531127359972e+71,3.1386230265055796e+69
,,
